Tag,Q3.2008,Q4.2008,Q1.2009,Q2.2009,Q3.2009,Q4.2009,Q1.2010,Q2.2010,Q3.2010,Q4.2010,Q1.2011,Q2.2011,Q3.2011,Q4.2011,Q1.2012,Q2.2012,Q3.2012,Q4.2012,Q1.2013,Q2.2013,Q3.2013,Q4.2013,Q1.2014,Q2.2014,Q3.2014,Q4.2014,Q1.2015,Q2.2015,Q3.2015,Q4.2015,Q1.2016,Q2.2016,Q3.2016,Q4.2016,Q1.2017,Q2.2017,Q3.2017,Q4.2017,Q1.2018,Q2.2018,Q3.2018,Q4.2018,Q1.2019,Q2.2019,Q3.2019,TopicNumber,Propensity
masm32,0,0,1,0,1,4,6,3,2,14,7,5,17,9,9,17,13,13,17,15,11,20,23,14,7,19,10,21,10,17,16,22,9,19,11,16,9,19,10,7,5,14,2,8,7,topic_964,0.007576171
bulk-load,0,0,1,1,0,1,4,2,5,3,4,4,0,5,7,3,11,13,8,9,4,11,5,8,11,6,6,14,5,7,12,3,9,8,11,7,14,8,6,8,13,5,6,6,8,topic_646,0.013899575
fasttext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,10,16,8,24,24,19,25,19,21,topic_180,0.010114238
bisection,0,1,0,0,0,0,0,1,1,2,1,0,1,2,1,0,2,5,8,2,5,9,8,6,5,3,7,8,7,4,5,10,8,3,11,6,6,7,6,3,7,12,9,7,2,topic_633,0.001019783
spark-cassandra-connector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,49,64,48,72,45,60,38,35,36,25,40,23,14,21,19,15,topic_362,0.00150156
spark-cassandra-connector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,49,64,48,72,45,60,38,35,36,25,40,23,14,21,19,15,topic_19,0.005082562
self-signed,0,4,3,4,7,3,6,7,7,6,8,5,9,10,8,8,16,16,13,9,24,20,21,14,19,19,20,13,23,27,31,23,27,18,21,27,20,18,23,32,23,23,16,18,9,topic_8,0.041419577
global,5,6,17,22,27,21,28,34,44,38,60,77,82,79,94,86,79,97,112,110,118,126,134,110,100,121,113,116,112,100,101,112,88,86,103,76,83,78,79,74,57,79,75,83,45,topic_347,0.16954409
py4j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,3,6,5,4,5,4,7,11,8,4,5,4,5,5,6,11,7,15,13,13,6,topic_62,0.01043
fasta,0,0,0,1,0,3,0,1,0,2,1,1,2,5,8,9,8,8,17,22,15,20,25,16,15,35,18,18,18,16,23,23,19,21,23,18,13,18,16,26,14,28,31,20,11,topic_514,0.017137155
query-performance,0,0,0,1,2,1,6,3,5,4,4,4,9,3,6,5,6,8,25,27,39,47,42,40,43,34,38,57,44,50,44,51,37,64,46,46,96,96,79,81,74,87,85,72,35,topic_610,0.06745274
openurl,0,0,1,0,1,4,7,2,2,4,1,7,6,4,9,10,13,11,11,9,7,15,7,11,7,10,8,9,18,13,11,9,11,15,14,8,13,5,9,4,13,3,5,5,3,topic_217,0.025193945
core.autocrlf,0,0,0,0,0,0,0,0,3,3,0,0,3,2,2,2,4,3,3,2,2,2,1,2,0,7,8,2,4,2,5,6,7,5,3,3,4,5,2,5,2,2,6,4,2,topic_914,9.94E-04
roxygen,0,0,0,0,0,1,3,1,0,6,5,3,6,8,10,3,3,6,3,4,0,1,4,4,2,3,0,1,3,3,5,2,0,1,0,1,1,4,3,2,3,3,1,4,0,topic_765,0.00531816
outline,0,1,1,2,1,3,5,3,4,7,4,5,10,16,10,11,15,14,17,13,13,12,8,11,6,10,17,12,2,14,7,4,9,10,9,11,11,7,6,7,9,13,6,12,5,topic_782,0.015015318
cfwheels,0,0,0,0,0,0,2,3,0,1,6,2,1,8,4,13,13,2,4,12,9,6,7,2,4,13,6,2,6,13,6,5,0,2,0,1,1,0,0,1,0,0,0,0,0,topic_534,0.004205473
visual-studio-cordova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,63,66,131,152,134,124,137,81,71,47,31,34,34,24,20,19,13,13,16,11,4,topic_111,0.014132205
qspinbox,0,1,0,0,0,0,0,0,0,0,0,1,2,2,5,4,2,2,1,5,3,10,6,2,3,9,3,3,5,2,2,2,3,5,2,5,3,4,2,1,4,3,1,3,2,topic_573,0.011612304
anagram,0,1,1,2,2,2,1,4,2,4,3,5,10,11,12,9,4,12,19,19,11,16,6,7,6,12,20,6,13,17,15,12,9,9,14,12,8,8,8,8,18,11,8,12,4,topic_103,0.02537764
facebooker,0,0,0,1,6,9,24,18,14,15,8,0,6,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,topic_438,0.004663308
powermail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,4,5,8,6,8,7,10,9,8,7,9,9,1,topic_662,0.003859583
perspective,0,1,0,0,1,3,4,11,9,7,20,23,18,18,29,25,24,22,22,25,23,20,24,13,22,20,20,16,22,13,18,12,17,12,14,14,11,11,15,10,16,13,13,3,7,topic_261,0.019400567
redux-framework,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,6,6,6,10,4,17,13,10,9,5,10,3,3,5,0,0,8,5,1,6,0,topic_557,0.007677068
eiffel,0,0,0,1,1,0,0,2,5,0,3,5,2,3,1,2,2,3,0,1,1,3,11,1,1,3,6,2,8,1,15,8,4,14,1,6,4,15,2,3,11,41,21,6,11,topic_885,0.003791159
rollingfileappender,0,1,3,2,1,1,5,3,8,9,3,3,1,8,3,10,4,8,6,4,10,9,6,13,5,11,8,4,9,4,11,13,15,5,8,10,10,2,9,8,5,5,11,5,6,topic_248,0.019073483
fastq,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,7,1,3,1,7,9,4,8,5,8,11,6,11,4,5,2,7,3,1,4,4,7,2,7,6,1,8,5,4,3,topic_768,0.004962582
gammu,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,2,1,2,5,1,1,7,5,3,9,5,5,7,6,6,10,2,8,6,6,2,3,4,2,10,2,2,topic_140,0.00306689
apache-drill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,7,17,37,49,43,37,41,28,36,24,29,28,28,21,21,22,21,15,19,topic_646,0.026194403
n-queens,0,0,0,0,0,1,0,3,0,3,3,1,2,1,3,2,5,6,12,11,3,22,9,8,3,8,4,9,9,12,6,7,9,9,10,4,7,8,4,3,7,10,8,5,3,topic_258,0.008221059
serde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,2,5,6,15,10,16,16,17,17,15,24,27,18,topic_143,0.001835435
bean-io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,6,1,1,4,6,4,5,6,3,1,4,2,0,0,4,5,7,8,1,7,4,4,6,6,topic_725,0.003050847
64-bit,48,101,88,120,143,147,173,180,170,152,184,163,187,169,208,159,174,179,201,182,174,155,179,140,115,116,201,150,134,104,93,86,74,71,83,69,52,65,60,66,66,67,62,61,72,topic_124,0.12397641
s60,1,15,7,7,6,14,13,6,5,9,8,10,8,2,9,7,0,3,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,topic_968,0.004564227
error-log,0,2,0,1,2,5,0,6,3,3,2,7,7,12,2,7,8,11,9,11,19,12,12,21,10,11,6,4,8,21,12,9,10,12,12,11,10,3,9,7,7,3,5,8,1,topic_427,0.008254245
django-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,23,54,60,51,12,14,8,7,2,4,6,5,14,4,4,2,topic_131,0.02182357
qt4,2,9,28,53,106,137,172,241,222,262,313,301,235,238,243,230,267,241,246,191,167,156,135,119,131,96,81,77,66,51,64,47,35,33,45,36,62,46,31,14,11,22,10,8,6,topic_710,0.05436843
jsonb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,13,24,42,35,36,54,59,68,55,82,57,75,70,71,78,77,72,86,74,65,topic_360,0.1069359
django-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,48,104,120,35,21,9,11,8,3,2,5,2,0,1,2,2,2,1,0,0,1,topic_114,0.04209686
interrupted-exception,0,0,0,0,1,2,2,6,1,2,3,4,6,6,4,7,3,2,12,2,3,3,5,9,7,5,10,3,7,6,6,6,4,0,7,2,2,4,6,3,2,0,6,2,3,topic_298,0.006862538
livereload,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,14,17,23,34,34,35,31,22,23,25,23,21,18,23,17,12,20,13,9,11,10,13,9,7,5,4,topic_507,0.020126611
qt5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,10,47,215,196,275,207,251,271,223,222,201,224,212,224,280,203,207,205,207,248,280,259,267,278,318,271,293,211,211,topic_306,0.0640218
django-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,88,75,54,19,21,12,16,14,12,9,11,8,10,8,7,5,10,4,topic_601,0.022100545
garbage-collection,30,64,101,102,106,126,161,188,162,186,247,250,256,253,306,277,290,284,315,330,333,335,333,303,301,281,321,309,328,313,274,297,261,242,239,220,224,212,210,176,194,171,199,167,96,topic_345,0.6089292
qvariant,0,1,3,0,1,0,1,1,2,1,2,2,4,2,5,7,0,3,4,6,4,3,7,8,8,8,3,0,4,4,4,8,1,2,4,6,5,3,5,7,4,3,1,6,2,topic_751,0.00715054
packet-capture,1,4,2,3,8,4,19,11,8,9,11,13,18,8,22,21,13,16,18,13,18,18,24,13,11,17,14,19,14,16,20,12,8,11,10,7,12,14,17,9,13,14,10,15,8,topic_103,0.036563203
asp.net-core-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,78,162,295,135,82,54,21,13,10,4,11,1,3,7,2,topic_16,0.012051009
asp.net-core-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,85,111,14,10,7,4,2,2,0,1,topic_764,0.008147921
autofill,0,0,2,3,3,9,4,4,5,13,14,7,12,6,22,26,14,14,14,33,26,17,28,23,29,27,22,26,41,28,28,31,19,31,43,38,28,36,33,38,36,54,65,55,28,topic_432,0.04562394
django-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,62,46,41,12,13,10,7,5,4,1,0,6,3,1,0,6,3,1,2,1,2,1,0,4,1,0,topic_122,0.001108002
batterylevel,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,15,15,34,8,19,13,12,6,5,6,9,3,6,4,6,3,5,5,8,6,8,7,7,5,2,5,1,topic_974,0.007208884
nonetype,0,0,0,0,0,0,0,0,0,3,0,1,0,1,4,7,12,12,14,16,17,28,26,17,12,22,26,28,28,23,27,38,28,27,25,20,27,43,23,33,29,33,30,40,18,topic_642,0.07177907
operation,0,0,1,2,1,4,4,2,2,5,7,14,7,7,13,6,10,22,13,19,18,22,14,10,15,13,11,14,10,13,12,10,12,13,14,13,9,14,22,12,8,18,18,10,10,topic_62,0.031759515
django-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,46,32,37,16,8,8,5,8,6,1,2,2,4,1,1,2,1,0,2,2,1,0,0,topic_464,0.014675309
gamma,2,0,0,0,0,1,2,2,2,0,2,5,1,5,3,5,2,2,1,6,5,2,5,5,2,1,8,6,4,1,2,1,1,3,1,3,3,2,3,3,4,1,6,8,6,topic_431,0.001746755
django-1.3,0,0,0,0,0,0,0,0,0,0,2,9,35,10,13,13,14,7,3,8,4,4,1,3,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,topic_675,0.004718076
django-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,41,30,20,31,20,10,6,8,3,3,4,5,7,4,8,0,1,2,5,4,3,3,0,0,0,2,2,0,0,1,topic_859,0.02176903
malware-detection,0,0,0,1,2,1,0,1,3,1,1,6,0,0,3,2,3,2,5,5,2,5,4,5,3,5,5,4,6,7,7,8,7,8,5,3,4,7,3,5,5,7,4,6,3,topic_807,0.00513602
jsonp,3,5,4,7,19,22,31,61,64,90,89,111,138,139,190,206,188,189,231,240,199,205,160,160,113,110,102,98,104,87,90,82,75,72,55,52,45,43,34,34,23,30,21,9,8,topic_218,0.0926287
ibm-rad,0,1,0,3,1,1,2,9,2,6,5,9,13,19,18,17,14,11,15,16,8,17,8,15,11,11,8,8,6,5,13,6,8,7,10,6,4,5,4,4,4,3,5,4,5,topic_314,0.013094035
preferencefragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,15,21,9,15,14,12,8,6,14,8,9,9,10,3,2,8,10,11,5,5,topic_968,0.007439856
easy-install,0,0,8,2,7,12,12,9,11,13,30,26,18,19,38,33,19,27,26,27,33,39,33,15,27,19,27,18,20,13,19,9,14,9,9,12,16,8,7,12,7,6,2,5,3,topic_158,0.023046205
installshield,5,20,19,22,33,27,20,25,36,49,44,43,51,69,76,46,72,75,83,79,84,87,92,77,97,53,49,61,78,54,74,65,41,37,65,46,39,35,44,48,34,39,31,22,17,topic_566,0.090832755
intellij-plugin,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,5,6,9,5,13,13,13,26,18,24,21,34,21,17,46,26,20,40,26,44,22,44,42,49,41,62,37,35,26,topic_56,0.06810545
dropwizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,14,9,33,35,42,61,49,86,85,135,83,99,82,98,66,87,71,82,83,53,72,75,67,52,42,50,30,topic_503,0.120584615
vhdl,0,8,7,4,3,14,6,16,13,24,49,46,28,60,46,76,55,106,140,152,124,227,195,202,107,198,194,226,157,188,214,202,128,164,170,167,122,122,109,142,95,163,119,191,84,topic_833,5.48E-06
vhdl,0,8,7,4,3,14,6,16,13,24,49,46,28,60,46,76,55,106,140,152,124,227,195,202,107,198,194,226,157,188,214,202,128,164,170,167,122,122,109,142,95,163,119,191,84,topic_290,0.11275192
computer-forensics,0,3,0,1,1,1,1,0,0,0,0,2,4,3,1,1,2,3,1,3,0,4,7,3,4,3,2,7,5,6,7,4,6,7,6,5,3,1,4,2,3,9,2,3,4,topic_801,0.001422645
handlebarshelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,8,2,8,8,12,5,6,6,8,5,7,5,5,1,5,3,0,topic_606,0.005823274
fileserver,0,1,0,1,1,3,2,0,4,2,3,4,1,2,5,4,7,10,5,10,4,6,5,2,8,7,3,4,6,3,7,7,10,5,4,6,12,3,4,5,5,5,6,3,9,topic_156,0.014409569
nsdecimalnumber,0,0,1,0,3,3,8,4,2,6,9,2,6,6,8,3,9,8,10,8,5,4,13,8,6,10,2,17,5,7,6,4,5,5,3,5,3,4,7,1,3,5,3,6,0,topic_501,0.003088397
angularjs-ng-repeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,37,159,239,252,347,430,489,479,534,601,521,401,460,356,321,278,291,296,252,157,164,117,110,71,54,44,22,topic_418,0.50858563
nao-robot,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1,1,4,2,3,3,8,3,2,6,4,4,1,1,2,10,1,8,9,15,18,18,20,15,22,21,21,13,7,topic_887,0.011998032
kundera,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,9,4,5,4,7,7,5,7,8,4,5,5,6,5,20,10,11,5,2,6,2,1,1,1,2,1,0,0,1,0,topic_598,0.009106636
qtp,2,8,10,8,16,12,12,23,46,15,25,31,36,27,32,38,45,39,67,55,52,49,66,45,81,60,69,61,56,45,42,60,47,22,43,58,38,23,22,19,14,11,18,15,7,topic_267,0.11113078
diamond-problem,0,1,1,0,4,0,3,3,3,2,5,5,6,0,7,5,8,2,4,11,5,10,8,7,2,8,5,5,2,0,7,6,7,2,8,4,5,10,5,5,4,5,5,4,5,topic_613,0.013585233
msiexec,0,2,1,2,0,1,0,2,8,9,20,7,9,7,5,11,5,5,6,11,12,5,16,10,10,9,20,24,25,16,18,19,9,21,13,19,22,8,26,16,18,13,24,8,9,topic_951,0.01875184
philips-hue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,5,11,2,5,9,1,14,9,11,13,9,7,3,5,6,9,9,6,4,4,3,6,3,3,topic_810,0.005501271
match-against,0,0,0,0,0,0,0,0,0,0,0,4,2,2,7,6,6,5,9,8,2,7,7,0,1,5,4,7,5,1,4,1,0,3,5,1,2,4,0,2,1,4,4,1,0,topic_941,0.006327679
windows-10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,16,24,209,969,742,583,564,469,434,483,451,464,444,426,407,420,452,447,437,318,topic_331,0.26911014
struts2-interceptors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,4,6,10,10,10,5,6,7,8,13,7,8,5,3,3,4,3,0,2,0,0,1,3,3,0,1,topic_938,0.006649354
perlin-noise,0,0,0,1,2,0,1,3,2,5,4,7,15,4,17,10,11,8,10,12,15,8,20,11,8,8,7,8,7,4,5,11,6,5,5,9,10,6,8,5,4,14,13,8,4,topic_35,0.008267261
access-rights,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,5,6,6,2,6,9,6,12,7,5,7,9,12,6,6,13,10,6,8,4,5,9,8,7,9,8,5,4,5,2,topic_346,0.014039189
healpy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,4,3,5,5,4,8,4,4,3,6,2,2,4,3,3,1,5,5,3,3,5,6,5,topic_821,0.005004272
expandable,0,1,0,1,0,0,0,1,3,3,5,6,5,7,3,3,10,12,9,10,3,11,14,7,11,11,5,6,13,6,10,9,10,9,6,2,4,4,3,4,7,6,6,5,4,topic_982,0.012731429
wowza,0,0,0,0,0,0,0,3,4,5,5,11,6,15,20,16,16,16,21,17,22,21,33,24,37,32,38,24,39,41,31,37,34,27,24,22,13,18,15,9,11,16,13,7,4,topic_12,0.030969964
bxslider,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,13,26,25,35,49,39,64,76,60,51,54,45,44,46,31,45,35,29,23,16,15,7,9,10,6,7,5,16,13,5,topic_771,0.060045812
luigi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,8,12,4,13,11,22,22,29,16,15,13,14,13,14,23,17,14,topic_287,0.013574084
purge,0,0,2,1,1,1,1,2,0,0,2,2,2,2,4,3,3,6,1,4,5,6,5,2,4,5,1,5,10,0,6,5,3,3,5,4,8,9,5,7,7,2,2,2,1,topic_197,0.003185688
commerce,0,0,0,1,0,0,3,0,0,0,1,1,0,2,4,3,6,6,7,2,6,7,4,7,8,5,5,2,9,3,7,6,7,7,2,4,8,1,3,1,3,6,7,4,1,topic_121,0.005650988
jlayeredpane,0,0,1,0,1,1,1,5,2,3,6,8,10,8,10,6,11,10,12,10,11,6,8,11,8,5,12,12,4,9,4,8,2,4,3,10,6,2,4,2,4,5,0,3,0,topic_597,0.004378415
pycrypto,0,0,0,0,0,1,3,6,4,4,11,7,9,15,20,20,26,14,18,22,17,26,19,29,22,14,22,16,30,25,30,29,21,18,34,29,27,12,18,22,15,29,26,18,17,topic_746,0.043553647
internal-storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,11,19,16,12,25,16,14,18,6,9,6,6,4,8,3,9,7,6,6,6,3,3,topic_487,0.009897037
scheduler,3,4,4,3,9,9,14,13,12,23,33,27,23,48,46,62,59,71,62,64,67,65,90,81,84,73,94,83,80,84,83,63,76,81,76,91,73,76,72,81,72,100,96,82,55,topic_885,0.042396553
subproject,0,0,0,1,1,2,0,2,0,1,2,0,2,1,2,3,1,5,2,5,5,5,11,7,13,4,3,2,8,4,3,4,6,4,2,1,2,5,1,2,2,4,2,2,1,topic_484,0.004187869
syntactic-sugar,1,6,7,4,6,7,9,6,8,13,13,9,7,6,14,8,12,5,13,11,15,10,8,11,7,10,10,14,4,8,9,9,3,9,9,4,7,4,6,5,18,7,5,6,2,topic_95,0.011863139
otrs,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,2,4,4,6,10,6,9,16,9,6,10,12,4,13,10,6,18,10,10,0,6,7,6,8,4,6,8,4,5,topic_578,0.004127895
web-config,11,56,90,96,134,107,145,174,161,166,198,248,233,231,270,299,264,279,304,308,321,226,214,224,181,144,170,201,200,185,187,181,182,175,157,146,143,119,136,122,157,135,144,122,67,topic_236,0.5154888
debian,14,17,24,31,35,30,43,43,60,55,89,84,98,106,127,167,154,173,224,205,234,231,314,299,221,265,282,341,277,270,298,318,225,289,236,241,248,221,218,205,179,201,223,174,160,topic_682,0.23708181
opencart2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,34,24,30,21,13,15,1,7,5,8,10,topic_553,0.003705793
glusterfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,7,4,3,5,5,7,10,7,12,13,8,14,11,11,13,8,14,19,21,8,7,6,topic_43,0.007001622
browser-feature-detection,0,0,0,0,2,1,2,0,2,1,2,2,7,7,10,5,8,6,10,11,14,7,7,10,6,2,7,2,0,4,1,2,0,1,2,0,0,0,1,1,0,1,0,0,3,topic_343,0.00641996
summary,1,1,2,1,4,2,4,5,2,7,10,10,11,10,10,12,17,19,31,14,20,31,25,18,21,31,28,26,29,32,23,35,27,31,27,14,34,36,31,29,13,33,30,30,20,topic_134,0.037336867
windows-mobile-5.0,1,2,0,3,3,21,3,4,4,3,3,6,0,5,5,2,8,5,2,3,3,1,8,2,3,1,3,0,0,1,0,0,3,1,0,0,1,1,0,1,1,0,0,0,0,topic_994,0.004795499
protoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,8,2,5,8,9,12,17,13,3,8,11,16,15,19,13,topic_850,0.003057949
bbcode,0,3,3,5,5,16,9,14,18,11,19,20,26,16,23,25,35,22,22,20,29,21,26,25,14,15,14,14,11,13,6,10,10,2,4,7,11,6,8,2,7,6,5,6,5,topic_765,0.027819885
google-crawlers,0,0,0,0,2,1,1,0,3,0,2,2,8,8,4,6,4,3,10,7,2,9,7,11,10,10,19,17,16,17,25,19,16,11,8,13,4,9,10,9,8,9,6,14,5,topic_331,0.010576515
rowsum,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,4,1,0,1,2,2,1,3,5,4,3,1,5,5,4,2,11,7,4,5,5,6,10,4,4,8,topic_930,0.006403068
auto-update,3,10,10,11,14,16,14,9,20,19,29,22,28,20,28,45,30,46,40,37,51,34,42,24,23,32,25,27,39,24,37,31,42,26,30,16,24,23,22,24,23,38,22,20,13,topic_667,0.07064766
confidence-interval,0,0,0,0,0,1,0,2,3,1,0,4,2,1,6,6,3,10,16,3,12,15,23,16,16,16,21,21,18,17,20,31,22,23,28,30,26,15,18,23,29,46,29,45,26,topic_194,0.055088475
onitemclicklistener,0,0,0,0,0,0,3,0,0,0,0,8,20,29,15,29,26,34,51,38,42,39,47,42,42,42,26,33,35,35,25,42,25,23,28,21,19,11,14,15,10,12,14,13,8,topic_490,0.023963807
google-dfp,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,10,11,19,16,20,16,20,21,15,24,19,21,21,21,11,22,28,18,25,20,24,18,22,14,18,24,14,13,2,topic_432,0.023749145
zend-session,0,0,1,1,0,1,3,5,3,5,11,12,6,5,9,6,6,7,16,4,4,6,4,1,2,0,4,3,2,2,2,0,1,0,5,0,2,1,0,0,0,0,0,0,0,topic_623,0.007372896
html5-validation,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,3,5,4,9,2,3,4,4,4,4,7,3,5,7,1,5,10,4,3,6,6,4,6,5,5,2,1,2,topic_389,0.001054224
suitecrm,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,2,1,2,4,9,9,4,14,10,16,24,17,22,15,35,40,30,25,24,23,13,27,19,25,18,topic_371,0.042132374
nsautolayout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,6,16,14,17,20,20,10,8,9,8,8,1,1,0,0,0,2,1,2,2,3,2,0,topic_910,0.005641495
certbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,21,17,22,17,15,29,25,29,45,38,37,22,topic_460,0.030708233
django-models,5,35,88,146,202,199,310,275,324,356,467,511,429,387,474,441,500,445,498,694,671,632,596,474,519,492,514,610,731,587,647,682,603,582,728,735,778,718,782,1011,1152,914,1263,1185,904,topic_675,0.019155405
django-models,5,35,88,146,202,199,310,275,324,356,467,511,429,387,474,441,500,445,498,694,671,632,596,474,519,492,514,610,731,587,647,682,603,582,728,735,778,718,782,1011,1152,914,1263,1185,904,topic_122,0.098366484
cqrs,0,0,0,0,2,3,4,12,13,20,20,22,53,33,50,40,39,39,29,34,28,20,32,55,44,24,32,38,47,43,37,28,42,34,64,34,51,35,54,49,59,58,48,47,37,topic_603,0.03144824
file-upload,17,46,53,82,115,200,213,231,356,398,501,625,599,597,701,788,816,793,960,885,896,855,891,815,742,708,759,723,692,546,636,588,575,517,530,544,532,449,439,426,413,428,429,383,269,topic_766,0.8432587
opencart2.x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,68,79,111,136,127,96,74,69,63,37,51,32,25,25,14,21,22,23,11,topic_483,0.031844914
visual-studio-2010-sp1,0,0,0,0,0,0,0,0,0,1,23,17,14,11,14,6,5,7,6,2,2,3,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,topic_655,0.003713827
pre-build-event,0,0,0,2,1,1,3,3,1,1,2,8,4,3,5,6,6,9,5,6,4,5,5,2,2,1,9,5,2,4,4,2,1,8,1,4,3,6,5,3,4,6,1,3,5,topic_815,0.003382116
dialogflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,9,38,61,116,173,257,321,461,514,544,546,477,306,topic_714,0.0946078
jfreechart,1,3,14,8,17,17,20,28,29,20,41,53,116,74,92,113,139,110,94,119,103,102,143,110,70,56,72,66,70,43,67,70,48,49,48,57,39,31,19,24,27,37,47,24,27,topic_144,0.13017465
degrees,0,0,0,0,0,1,4,2,2,3,1,1,5,0,5,9,5,5,4,6,4,6,5,5,14,6,13,3,10,11,8,6,4,4,3,5,6,4,1,5,3,2,7,5,2,topic_864,0.009482485
qwt,0,0,0,0,0,5,1,2,1,1,11,5,8,9,11,9,11,10,19,17,12,12,16,17,19,15,2,14,10,17,10,7,6,9,6,6,6,5,8,2,8,5,7,6,5,topic_306,0.003428951
epsilon,0,1,0,0,0,1,1,2,2,1,1,0,4,3,2,4,2,2,3,0,4,6,2,7,4,5,2,7,2,6,3,2,4,3,3,4,3,7,3,1,4,3,4,2,1,topic_725,0.003551953
